alpha,SM,ICP,IFN,NED,normalized_sum
0.0,0.26335163154895463,0.16347302494580068,0.64,0.771186440677966,-2.181176470588235
0.05,0.27642346550163577,0.15680672664118583,0.64,0.757020757020757,-1.8962551368932732
0.1,0.27817694992078273,0.16038284883787027,0.6551724137931034,0.7522522522522522,-2.053413961694842
0.15,0.30556918729099714,0.1595886158657323,0.696969696969697,0.75625,-2.330226273984336
0.2,0.3264404295429102,0.15286955041367162,0.7272727272727273,0.7145922746781116,-2.0785663348422974
0.25,0.3460562536022965,0.1467011084207211,0.7272727272727273,0.7010752688172043,-1.7752864235703916
0.3,0.34512647310118716,0.14559549222539844,0.6666666666666666,0.7129186602870814,-1.2840476635874407
0.35,0.3571243659632575,0.14201657945076962,0.6571428571428571,0.7405405405405405,-1.2896466649582339
0.4,0.37958934486373686,0.13387939579661584,0.6285714285714286,0.7017543859649122,-0.47620515000390773
0.45,0.3796540543155391,0.13059862779623177,0.6333333333333333,0.6927374301675977,-0.39575333509492383
0.5,0.41739015112658817,0.11582149886674081,0.6363636363636364,0.6711409395973154,0.17416262017939443
0.55,0.4511252386802848,0.11225751160941083,0.6206896551724138,0.6612903225806452,0.6208688755317306
0.6,0.4612000719937185,0.10956101038371555,0.6285714285714286,0.6556603773584906,0.6846171571369506
0.65,0.43576635980657874,0.10479913836357058,0.6571428571428571,0.6434108527131783,0.46787595144326266
0.7,0.4417254376193246,0.10401025791719531,0.6666666666666666,0.6820809248554913,0.12202336265111713
0.75,0.4276235023379712,0.10746860826599396,0.6923076923076923,0.674757281553398,-0.188546193108319
0.8,0.4650697056030389,0.10472543204756411,0.6571428571428571,0.6417112299465241,0.624376498740991
0.85,0.44190723512458124,0.10419861187503511,0.6666666666666666,0.6796116504854368,0.13880897132964742
0.9,0.4695186738975067,0.1075173752096626,0.6666666666666666,0.6734693877551021,0.2643637028431136
0.95,0.44676606978879696,0.11115964233405809,0.6571428571428571,0.6732283464566929,0.18396817569844304
1.0,0.4179150163674955,0.1191640484645941,0.6470588235294118,0.6666666666666667,0.05470692976062019
